E-in, E-out
13.9077, 257.0169
0.4856, 9.4476
0.7599, 7.6635
0.9835, 6.8263
1.1730, 6.3334
1.3372, 6.0103
1.4816, 5.7845
1.6102, 5.6198
1.7259, 5.4960
1.8308, 5.4010
1.9267, 5.3268
2.0149, 5.2684
2.0963, 5.2221
2.1719, 5.1851
2.2424, 5.1558
2.3084, 5.1325
2.3704, 5.1142
2.4288, 5.1001
2.4839, 5.0895
2.5362, 5.0819
2.5858, 5.0768
2.6331, 5.0738
2.6782, 5.0728
2.7213, 5.0733
2.7626, 5.0754
2.8022, 5.0787
2.8403, 5.0832
2.8770, 5.0887
2.9124, 5.0952
2.9466, 5.1024
2.9797, 5.1105
3.0118, 5.1192
3.0429, 5.1285
3.0731, 5.1384
3.1025, 5.1489
3.1311, 5.1599
3.1590, 5.1713
3.1862, 5.1832
3.2128, 5.1955
3.2388, 5.2081
3.2642, 5.2211
3.2892, 5.2345
3.3137, 5.2482
3.3377, 5.2622
3.3613, 5.2765
3.3845, 5.2910
3.4073, 5.3059
3.4298, 5.3209
3.4520, 5.3363
3.4739, 5.3519
3.4955, 5.3677
3.5168, 5.3837
3.5379, 5.4000
3.5588, 5.4164
3.5794, 5.4331
3.5999, 5.4500
3.6201, 5.4670
3.6402, 5.4843
3.6601, 5.5017
3.6799, 5.5193
3.6995, 5.5371
3.7190, 5.5551
3.7383, 5.5733
3.7576, 5.5916
3.7768, 5.6101
3.7958, 5.6287
3.8148, 5.6475
3.8337, 5.6665
3.8525, 5.6856
3.8713, 5.7049
3.8900, 5.7243
3.9086, 5.7439
3.9272, 5.7636
3.9457, 5.7835
3.9643, 5.8035
3.9828, 5.8237
4.0012, 5.8440
4.0197, 5.8645
4.0381, 5.8851
4.0565, 5.9058
4.0749, 5.9267
4.0933, 5.9477
4.1117, 5.9688
4.1301, 5.9901
4.1485, 6.0115
4.1669, 6.0331
4.1853, 6.0548
4.2038, 6.0766
4.2222, 6.0985
4.2407, 6.1206
4.2592, 6.1428
4.2777, 6.1652
4.2963, 6.1876
4.3149, 6.2102
4.3335, 6.2329
4.3522, 6.2558
4.3709, 6.2787
4.3896, 6.3018
4.4084, 6.3251
4.4272, 6.3484
4.4461, 6.3719
4.4650, 6.3955
4.4840, 6.4192
4.5030, 6.4430
4.5220, 6.4670
4.5412, 6.4911
4.5603, 6.5153
4.5796, 6.5396
4.5988, 6.5640
4.6182, 6.5886
4.6376, 6.6133
4.6571, 6.6381
4.6766, 6.6630
4.6962, 6.6880
4.7158, 6.7132
4.7356, 6.7384
4.7553, 6.7638
4.7752, 6.7893
4.7951, 6.8149
4.8151, 6.8406
4.8352, 6.8665
4.8553, 6.8924
4.8755, 6.9185
4.8958, 6.9447
4.9161, 6.9710
4.9365, 6.9974
4.9570, 7.0239
4.9776, 7.0506
4.9982, 7.0773
5.0189, 7.1042
5.0397, 7.1311
5.0606, 7.1582
5.0816, 7.1854
5.1026, 7.2127
5.1237, 7.2401
5.1449, 7.2677
5.1661, 7.2953
5.1875, 7.3230
5.2089, 7.3509
5.2304, 7.3789
5.2520, 7.4069
5.2737, 7.4351
5.2954, 7.4634
5.3173, 7.4918
5.3392, 7.5203
5.3612, 7.5489
5.3833, 7.5776
5.4054, 7.6064
5.4277, 7.6353
5.4500, 7.6644
5.4724, 7.6935
