E-in, E-out
3.4618, 6.5779
2.9639, 5.3494
2.9345, 5.1016
2.8111, 4.9859
2.8809, 4.8994
2.9074, 4.8506
2.8917, 4.8314
2.9590, 4.7941
2.9591, 4.7651
3.0351, 4.7267
3.0346, 4.7123
3.1200, 4.6672
3.1064, 4.7092
3.1095, 4.6281
3.1564, 4.6358
3.1278, 4.6260
3.1667, 4.5982
3.2240, 4.5844
3.1864, 4.5820
3.2307, 4.5633
3.2469, 4.5498
3.2649, 4.5330
3.2235, 4.5167
3.2887, 4.5118
3.2860, 4.5241
3.3254, 4.4943
3.2886, 4.4885
3.3276, 4.4576
3.3554, 4.4547
3.3426, 4.4332
3.3864, 4.4430
3.3878, 4.4204
3.3568, 4.4338
3.4295, 4.4271
3.3901, 4.4036
3.4218, 4.3962
3.4422, 4.3905
3.4315, 4.3868
3.4259, 4.3893
3.4402, 4.3712
3.4381, 4.3755
3.4571, 4.3643
3.4576, 4.3607
3.4618, 4.3516
3.4757, 4.3406
3.4781, 4.3376
3.4896, 4.3370
3.4936, 4.3336
3.5016, 4.3236
